Peak,Trough
01/01/1945,01/10/1945
01/10/1948,01/10/1949
01/04/1953,01/04/1954
01/07/1957,01/04/1958
01/04/1960,01/01/1961
01/10/1969,01/10/1970
01/10/1973,01/01/1975
01/01/1980,01/07/1980
01/07/1981,01/10/1982
01/07/1990,01/01/1991
01/01/2001,01/10/2001
01/10/2007,01/04/2009
01/10/2019,01/04/2020
